t,pop,avg_viruses,virus_1_cnt,virus_1_genome
123,196,0.137755,27,"0.371339,0.453946,0.326266,0.0521008,0.312237,0.118485,0.308459,0.19423,0.39584,0.381816,"
124,196,0.142857,28,"0.371339,0.453946,0.326266,0.0521008,0.312237,0.118485,0.308459,0.19423,0.39584,0.381816,"
125,196,0.153061,30,"0.371339,0.453946,0.326266,0.0521008,0.312237,0.118485,0.308459,0.19423,0.39584,0.381816,"
126,196,0.188776,37,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
127,196,0.22449,44,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
128,196,0.234694,46,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
129,195,0.246154,48,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
130,195,0.266667,52,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
131,194,0.268041,52,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
132,193,0.284974,55,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
133,193,0.331606,64,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
134,192,0.333333,64,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
135,192,0.354167,68,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
136,192,0.385417,74,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
137,191,0.408377,78,"0.379223,0.459132,0.325324,0.0453771,0.293788,0.105449,0.311733,0.19381,0.398624,0.382651,"
